1,S,1
0.4,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,3
0.4,S,3
0.4,S,3
0.4,S,3
0.4,S,3
2.5,M,2
0,M,0
0,M,4
1,S,7
0.4,S,7
0.4,S,7
1,S,5
2,S,1
2,S,1
2,S,1
2,S,3
2,S,3
2,S,3
2,S,2
2,S,2
2,S,2
2,S,4
2,S,4
2,S,4
2,M,5
2,M,6
2,M,7
2,M,8
1.5,L,1
2,L,4
3.5,L,5
5,L,2
6.5,L,7
1.5,L,0	
2,S,1
2,S,1
2,S,1
1,S,3
2,S,2
2,S,2
2,S,2
1,S,4
1,S,4
1,S,4
0.5,M,0
0.5,M,4
0.5,M,1
0.5,M,3
0.4,S,5
0.4,S,5
3,L,2
10,S,1
0.4,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,3
0.4,S,3
0.4,S,3
0.4,S,3
0.4,S,3
2.5,M,2
0,M,0
0,M,4
1,S,7
0.4,S,7
0.4,S,7
1,S,5
0.4,S,5
0.4,S,5
3,L,2
4,B,2
